index,Name,Partei,Bildungsgrad,Abschluss,Vormalige Ämter,Beruf
193,"Hartwig, Roland",AfD,Promotion,Abitur,Kommunales Führungsamt,Privatwirtschaft/Management
194,"Hauer, Matthias",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
195,"Haug, Jochen",AfD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
196,"Hauptmann, Mark",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
197,"Haßelmann, Britta",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
198,"Hebner, Martin",AfD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
199,"Heider, Matthias",Union,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
200,Heidrun Bluhm,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
201,Heike Hänsel,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
202,Heil,SPD,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
203,"Heil, Mechthild",Union,Masterabschluss,Abitur,Kommunale Räte,Ingenieurwesen und Bau
204,"Heilmann, Thomas",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
205,Heinrich,SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Journalismus
206,"Heinrich, Frank",Union,Bachelorabschluss,Abitur,Kein politisches Amt,Soziale Arbeit und Kinderbetreuung
207,Held,SPD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,NGO/Vereinstätigkeit
208,"Helfrich, Mark",Union,Duales Studium,Abitur,Kommunale Räte,Privatwirtschaft/Management
209,Helin Evrim Sommer,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
210,"Helling-Plahr, Katrin",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
211,Hellmich,SPD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Verwaltung
212,"Hemmelgarn, Udo Theodor",AfD,Berufsausbildung,Abitur,Kommunales Führungsamt,Unternehmer
213,Hendricks,SPD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Lehrer
214,"Henke, Rudolf",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,NGO/Vereinstätigkeit
215,"Hennrich, Michael",Union,Staatsexamen,Abitur,Kommunale Räte,Politik
216,"Henrichmann, Marc",Union,Staatsexamen,Abitur,Kein politisches Amt,NGO/Vereinstätigkeit
217,"Herbrand, Markus",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Steuerberatung und Wirtschaftsprüfung
218,"Herbst, Torsten",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
219,"Herdt, Waldemar",AfD,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
220,"Herrmann, Lars",AfD,Bachelorabschluss,Mittlere Reife,Kommunales Führungsamt,Polizei/Strafverfolgung*Staatsanwalt
221,Herzog,SPD,Berufsausbildung,Mittlere Reife,Landtag,Wissenschaft
222,"Hess, Martin",AfD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Polizei/Strafverfolgung*Staatsanwalt
223,"Hessel, Katja",FDP,Staatsexamen,Abitur,Führungsposition auf Landesebene,Rechtsanwalt/Kanzlei
224,"Heveling, Ansgar",Union,Staatsexamen,Abitur,Kommunale Räte,Politik
225,"Heßenkemper, Heiko (Prof.)",AfD,Promotion,Abitur,Kommunale Räte,Ingenieurwesen und Bau
226,Hiller-Ohm,SPD,Masterabschluss,Abitur,Kommunale Räte,Ingenieurwesen und Bau
227,"Hilse, Karsten",AfD,Berufsausbildung,Mittlere Reife,Kommunales Führungsamt,Polizei/Strafverfolgung*Staatsanwalt
228,"Hirte, Christian",Union,Staatsexamen,Abitur,Kommunale Räte,Politik
229,"Hirte, Heribert",Union,Promotion,Abitur,Kein politisches Amt,Akademische Lehre
230,Hitschler,SPD,Masterabschluss,Abitur,Kommunale Räte,Verwaltung
231,"Hocker, Gero Clemens",FDP,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
232,"Hoffmann, Alexander",Union,Staatsexamen,Abitur,Kommunale Räte,Verwaltung
233,"Hoffmann, Bettina",Die Grünen,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
234,"Hoffmann, Christoph",FDP,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Verwaltung
235,"Hofreiter, Anton",Die Grünen,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
236,"Hohmann, Martin",AfD,Staatsexamen,Abitur,Kommunales Führungsamt,Polizei/Strafverfolgung*Staatsanwalt
237,"Hollnagel, Bruno",AfD,Promotion,Mittlere Reife,Führungsposition auf Landesebene,Privatwirtschaft/Management
238,"Holm, Leif-Erik",AfD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
239,"Holmeier, Karl",Union,Berufsausbildung,Mittlere Reife,Kommunales Führungsamt,Politik
240,"Holtz, Ottmar von",Die Grünen,Masterabschluss,Abitur,Landtag,Akademische Lehre
241,"Hoppenstedt, Hendrik",Union,Staatsexamen,Abitur,Kommunales Führungsamt,Politik
242,"Houben, Reinhard",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
243,"Huber, Johannes",AfD,Masterabschluss,Abitur,Kommunales Führungsamt,Privatwirtschaft/Management
244,"Höchst, Nicole",AfD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
245,"Höferlin, Manuel",FDP,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
246,Högl,SPD,Promotion,Abitur,Führungsposition auf Landesebene,Kultur
247,"Ihnen, Ulla",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
248,Ingrid Remmers,Die Linke,Duales Studium,Keine Daten,Keine Daten,Keine Daten
249,"Irlstorfer, Erich",Union,Berufsausbildung,Mittlere Reife,Kommunale Räte,Privatwirtschaft/Management
250,"Irmer, Hans-Jürgen",Union,Staatsexamen,Abitur,Landtag,Lehrer
251,"Jacobi, Fabian",AfD,Staatsexamen,Abitur,Kein politisches Amt,Rechtsanwalt/Kanzlei
